,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Group
LOC114841035,2.74213631461836,-1.32471557978283,0.373741641488809,-3.54446877930378,0.000393405093488858,0.00164584673320623,downregulated
LYNX1,26.0511268252942,-1.3233098514347,0.243936926623423,-5.42480332827002,5.80183861828331e-08,9.40096298886914e-07,downregulated
PTGDR2,132.26690315576,-1.32099779823006,0.276597162752288,-4.77589063129005,1.78913617131349e-06,1.73254595782601e-05,downregulated
TPSG1,0.78438499884351,-1.31755677022581,0.998597353395097,-1.3194074325816,0.187032938274528,0.276888729837011,notsignificant
SCGB3A1,4.85750999507701,-1.30971340490446,0.472338184656901,-2.77282982288593,0.00555711732447386,0.0153293328340758,downregulated
ZP1,5.35994596226236,-1.30629107999951,0.28106912547527,-4.64757940876876,3.35852820394066e-06,2.97101841411989e-05,downregulated
MAGED4B,1.01569412730861,-1.28275260051339,0.901021101878245,-1.4236654367355,0.154543343519071,0.23827417523384,notsignificant
NOG,32.8772152115098,-1.27368849135521,0.272055465750941,-4.68172358838487,2.84472893352269e-06,2.57470137060208e-05,downregulated
LRRN3,120.100170695035,-1.27349337182608,0.266606206132411,-4.77668314740426,1.78210242750548e-06,1.72852413254061e-05,downregulated
TMPRSS11E,2.65600842109852,-1.2726332200813,0.389703810511295,-3.26564222816193,0.0010921614277421,0.00391499203946899,downregulated
SEMA6B,48.1280948701868,-1.2610303926009,0.247821270751508,-5.08846713914781,3.60969313244634e-07,4.48370494050729e-06,downregulated
HBA2,37035.0841447095,-1.2602943156471,0.271784764666317,-4.63710435422832,3.53324052871105e-06,3.10118946844741e-05,downregulated
AIRE,18.7487096019571,-1.25840065758713,0.230339972434368,-5.46323177991044,4.67543491525283e-08,7.78604804295851e-07,downregulated
TBC1D3,32.4393292176903,-1.2582331782984,0.439053938849407,-2.86578269083692,0.00415979686116861,0.0119719685203449,downregulated
CACNA2D3,46.4787286379899,-1.25566835539631,0.183812623449174,-6.83124114021211,8.41830870671761e-12,3.47583470959473e-10,downregulated
ZDHHC1,13.1759148816633,-1.24113719781012,0.230845784206909,-5.37647764317704,7.59571257473416e-08,1.18696195981219e-06,downregulated
